                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3782,                 11.579,                 0.7071,                 9.5081,                 1.8049,                0.00624,                0.18182,                0.00444,                0.00196,                      0,                      0,                      0,                      0,                 2.2576,                 11.633,                0.69337,                 4.7057,                 1.9448,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.1246,                 11.447,                0.70638,                 6.0853,                 1.5697,                0.14098,                0.11364,                0.12578,                0.07431,                      0,                      0,                      0,                      0,                 1.8511,                 11.646,                 0.6942,                 3.0166,                 1.4128,             5.9802e-05,             5.9802e-05,             5.9802e-05
                      3,                 1.5566,                 11.641,                0.72466,                 2.2993,                 1.1907,                0.51093,                0.35631,                0.33917,                0.19825,                      0,                      0,                      0,                      0,                 1.5479,                 11.633,                 0.6942,                 2.1467,                 1.1105,              9.934e-05,              9.934e-05,              9.934e-05
                      4,                 1.3129,                 11.575,                0.73958,                 1.4966,                 1.0263,                0.87564,                0.45455,                0.69701,                0.44177,                      0,                      0,                      0,                      0,                 1.1342,                 11.623,                0.69386,                 2.0206,                0.96042,             0.00013861,             0.00013861,             0.00013861
                      5,                 1.0827,                 11.455,                0.73773,                 1.1152,                0.95685,                0.97451,                0.97727,                0.97578,                0.61061,                      0,                      0,                      0,                      0,                 1.0207,                 11.609,                0.69294,                 1.4913,                0.89796,             0.00017762,             0.00017762,             0.00017762
                      6,                 1.0789,                 11.441,                0.73544,                0.87569,                0.92541,                0.96667,                0.97727,                0.99163,                0.61099,                      0,                      0,                      0,                      0,                 1.0062,                 11.638,                0.69226,                 1.0637,                0.90246,             0.00021637,             0.00021637,             0.00021637
                      7,                 1.0017,                 11.377,                0.72979,                0.75456,                0.91965,                0.97209,                      1,                0.99256,                0.67567,                      0,                      0,                      0,                      0,                0.93438,                 11.639,                0.69174,                 1.0218,                0.91081,             0.00025485,             0.00025485,             0.00025485
                      8,                0.91442,                 11.237,                0.71788,                  0.681,                0.91152,                0.99707,                      1,                  0.995,                0.71826,                      0,                      0,                      0,                      0,                0.88288,                 11.653,                0.69152,                0.91444,                0.88854,             0.00029307,             0.00029307,             0.00029307
                      9,                0.84703,                 11.067,                0.71148,                0.62059,                0.88366,                0.93388,                0.96318,                0.98889,                   0.68,                      0,                      0,                      0,                      0,                0.98316,                 11.631,                0.69144,                 0.8451,                0.89428,             0.00033102,             0.00033102,             0.00033102
                     10,                0.80891,                 10.878,                0.70449,                  0.591,                0.89718,                 0.9966,                0.97727,                 0.9926,                0.69794,                      0,                      0,                      0,                      0,                0.89971,                  11.63,                0.68992,                0.81548,                0.87957,             0.00036871,             0.00036871,             0.00036871
