                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.709,                 11.475,                0.71031,                  4.132,                 1.2343,                0.82314,                0.87195,                0.88887,                0.58168,                      0,                      0,                      0,                      0,                 1.0808,                 11.562,                0.69278,                 1.2672,                0.91288,                 0.0002,                 0.0002,                 0.0002
                      2,                0.98375,                 11.086,                0.69917,                 0.7467,                0.92482,                0.79362,                0.70346,                0.76991,                0.53386,                      0,                      0,                      0,                      0,                0.99986,                 11.532,                0.68883,                 1.2507,                0.90827,             0.00041861,             0.00041861,             0.00041861
                      3,                0.88614,                 10.143,                  0.678,                0.66069,                0.91513,                0.74816,                0.85139,                0.81171,                0.59896,                      0,                      0,                      0,                      0,                0.89387,                 11.392,                0.67753,                0.96446,                0.91268,             0.00063578,             0.00063578,             0.00063578
                      4,                0.89321,                 9.5294,                0.65823,                0.64293,                0.92756,                0.74607,                0.80618,                 0.8287,                0.60202,                      0,                      0,                      0,                      0,                0.94387,                 10.543,                0.65769,                 2.0274,                0.90724,             0.00085149,             0.00085149,             0.00085149
                      5,                0.92384,                 8.7882,                0.63864,                0.65928,                0.92928,                0.99338,                0.92073,                0.92636,                0.71598,                0.07019,                0.06098,                  0.006,                0.00089,                0.90655,                 8.9964,                0.64491,                 0.6096,                0.90047,              0.0010657,              0.0010657,              0.0010657
                      6,                0.90477,                 8.2103,                0.62565,                0.61199,                0.93396,                0.97137,                0.79268,                0.89751,                0.68228,                0.18573,                0.13415,                0.04244,                0.00654,                0.93348,                 8.3425,                0.64509,                 1.0549,                0.92448,              0.0012786,              0.0012786,              0.0012786
                      7,                0.88668,                 7.7234,                0.60976,                 0.6132,                0.93134,                0.90439,                 0.7561,                0.83696,                0.64836,                0.04667,                0.04268,                0.00255,                0.00052,                0.89241,                 8.1811,                0.65083,                  2.046,                0.91336,              0.0014899,              0.0014899,              0.0014899
                      8,                0.91095,                 7.1158,                0.60391,                0.61894,                0.93597,                0.97858,                0.92683,                0.92651,                0.67399,                0.03873,                0.03659,                0.00199,                0.00031,                0.94636,                 8.2076,                0.65426,                 0.8952,                0.93407,              0.0016998,              0.0016998,              0.0016998
                      9,                0.86933,                 6.4246,                0.61261,                 0.6037,                0.92384,                0.97841,                0.92073,                0.92475,                0.67377,                0.04636,                0.04268,                0.00263,                0.00043,                0.91773,                 8.2265,                0.64743,                 1.7702,                0.91105,              0.0019083,              0.0019083,              0.0019083
                     10,                 0.9256,                 6.5036,                 0.6092,                0.66361,                0.94536,                0.92913,                0.90854,                0.90982,                0.67213,                0.09567,                0.08537,                0.00897,                0.00225,                0.97127,                 7.8335,                0.66319,                 1.4208,                0.95775,              0.0019406,              0.0019406,              0.0019406
                     11,                0.86225,                 5.5646,                0.59849,                0.60514,                0.91252,                 0.9477,                0.92073,                0.92433,                 0.6862,                0.11012,                0.10976,                0.01661,                0.00322,                 0.9304,                 7.2587,                0.63281,                 2.3993,                0.93559,              0.0019406,              0.0019406,              0.0019406
                     12,                0.89224,                 5.2742,                0.60473,                0.60584,                0.93412,                0.60384,                0.91463,                0.91735,                0.69218,                0.06431,                0.10366,                0.01292,                0.00262,                0.91395,                 6.4573,                0.62864,                 1.7281,                0.91476,               0.001934,               0.001934,               0.001934
                     13,                0.90287,                 4.9343,                0.58603,                 0.6187,                0.93597,                0.85342,                0.63905,                0.71017,                0.51388,                0.23791,                0.15854,                0.05094,                0.00804,                 1.0965,                 6.5448,                0.63835,                 1.2963,                0.99827,              0.0019274,              0.0019274,              0.0019274
                     14,                 0.8668,                 4.8793,                0.59305,                0.57975,                0.91807,                0.94008,                0.56707,                 0.7464,                0.57963,                0.18712,                0.17683,                0.06765,                0.01629,                0.83027,                 5.4094,                0.62795,                 4.7843,                0.88309,              0.0019208,              0.0019208,              0.0019208
                     15,                0.84023,                 4.7965,                0.60147,                0.57325,                 0.9345,                0.89294,                0.53049,                0.63915,                0.49177,                0.44502,                 0.2561,                0.17289,                0.04532,                 1.0227,                 5.0459,                 0.6189,                 7.2802,                0.92287,              0.0019142,              0.0019142,              0.0019142
                     16,                0.84524,                 4.3881,                0.57817,                0.55371,                0.92494,                0.95438,                0.89294,                0.92149,                0.72355,                0.61542,                0.53659,                0.36909,                0.12318,                0.86365,                 4.4637,                0.62653,                0.86312,                0.88878,              0.0019076,              0.0019076,              0.0019076
                     17,                0.82465,                 4.5619,                0.59351,                 0.5552,                 0.9143,                0.98027,                0.90895,                0.92592,                0.72937,                0.61714,                0.56707,                0.38394,                0.14578,                0.81903,                 4.5018,                0.62183,                0.66146,                0.87898,               0.001901,               0.001901,               0.001901
                     18,                0.84008,                 4.3358,                0.58172,                0.55909,                0.92618,                0.91888,                0.92073,                0.90144,                0.64341,                0.44782,                0.45122,                0.22309,                0.05676,                  1.025,                 4.8659,                0.61926,                0.77104,                0.96842,              0.0018944,              0.0018944,              0.0018944
                     19,                0.81884,                 4.2402,                0.59091,                0.52551,                0.91172,                0.98377,                0.92683,                0.92442,                0.73167,                0.47381,                0.43377,                0.23387,                0.06603,                0.80306,                  4.537,                0.62669,                0.86737,                0.86803,              0.0018878,              0.0018878,              0.0018878
                     20,                0.81814,                 3.9985,                0.59519,                0.53505,                0.92534,                      1,                0.91922,                 0.9363,                0.74867,                0.59155,                0.54268,                 0.3427,                0.10786,                0.80018,                 4.3139,                0.62018,                0.60203,                0.87319,              0.0018812,              0.0018812,              0.0018812
                     21,                0.80913,                 3.8754,                0.59224,                0.53016,                0.91664,                      1,                0.91957,                0.92845,                 0.7504,                0.70837,                0.65169,                0.53361,                0.14216,                0.80161,                  4.281,                0.61223,                 0.5387,                0.87124,              0.0018746,              0.0018746,              0.0018746
                     22,                0.82307,                 4.2206,                0.59871,                0.55509,                0.92302,                0.96181,                0.92073,                0.92448,                0.73369,                0.68859,                0.65854,                0.48204,                0.12693,                0.84489,                 4.1194,                0.61588,                0.73686,                0.88436,               0.001868,               0.001868,               0.001868
                     23,                0.77627,                 3.8202,                  0.585,                0.51706,                0.90898,                0.99864,                0.92073,                 0.9346,                0.77394,                0.74362,                0.68293,                0.54625,                0.16101,                0.74719,                 3.8733,                0.61366,                 1.1706,                0.86223,              0.0018614,              0.0018614,              0.0018614
                     24,                0.75648,                  3.846,                0.58611,                0.49951,                0.90229,                0.99798,                0.91463,                0.92497,                0.74069,                0.79838,                0.73171,                0.68346,                0.25087,                0.75506,                 3.6879,                0.61168,                0.62942,                0.85464,              0.0018548,              0.0018548,              0.0018548
                     25,                0.76607,                 3.7635,                0.58721,                0.50523,                0.90599,                0.98528,                0.92683,                0.93484,                 0.7543,                0.77115,                0.72561,                0.61936,                0.21512,                0.75943,                 3.7105,                0.61128,                0.52582,                0.86861,              0.0018482,              0.0018482,              0.0018482
                     26,                0.73151,                 3.5997,                 0.5834,                0.48226,                0.88417,                0.99226,                0.92073,                 0.9304,                 0.7723,                0.76447,                0.69512,                0.60647,                0.23221,                0.73001,                 3.6426,                0.60943,                 0.4674,                0.85567,              0.0018416,              0.0018416,              0.0018416
                     27,                0.74667,                 3.6435,                0.58406,                0.49009,                0.88656,                0.98165,                0.93293,                0.93308,                0.77227,                0.82354,                0.78049,                 0.7293,                0.24821,                0.74224,                 3.4219,                 0.6054,                0.57567,                 0.8587,               0.001835,               0.001835,               0.001835
                     28,                0.73639,                  3.605,                 0.5785,                0.49175,                0.90132,                0.98956,                0.92683,                0.92822,                0.73992,                0.82093,                0.75476,                0.72403,                0.26351,                0.77788,                  3.373,                0.60215,                 1.2133,                 0.8699,              0.0018284,              0.0018284,              0.0018284
                     29,                0.76727,                 3.6295,                0.58725,                0.49881,                0.89937,                0.98391,                0.92683,                0.93529,                0.75757,                0.90025,                0.80488,                0.77292,                 0.3031,                0.70616,                  3.274,                 0.5954,                 1.5497,                0.85116,              0.0018218,              0.0018218,              0.0018218
                     30,                0.75668,                 3.5673,                 0.5823,                0.49719,                0.89236,                0.99935,                0.92073,                0.92797,                0.76612,                0.85177,                0.78049,                0.73271,                0.28171,                0.72069,                 3.2392,                0.59721,                0.83501,                0.85664,              0.0018152,              0.0018152,              0.0018152
                     31,                0.74275,                 3.5353,                0.58226,                0.48425,                0.90243,                0.94901,                0.90787,                0.91832,                0.74242,                0.66913,                0.57317,                 0.5129,                0.16428,                0.78184,                   4.68,                0.60816,                  0.547,                0.88888,              0.0018086,              0.0018086,              0.0018086
                     32,                0.70897,                 3.4205,                0.58449,                0.47319,                0.87341,                0.99125,                0.93293,                0.94214,                0.79857,                0.83325,                0.77439,                0.70906,                 0.2364,                0.68714,                 3.3979,                0.60935,                0.43216,                 0.8391,               0.001802,               0.001802,               0.001802
                     33,                0.68962,                 3.2642,                0.58004,                0.44981,                0.87114,                0.99754,                0.92073,                0.95144,                0.81552,                0.84335,                 0.7561,                 0.7515,                0.33802,                0.66241,                 3.2008,                    0.6,                0.43968,                0.83785,              0.0017954,              0.0017954,              0.0017954
                     34,                 0.7002,                 3.4539,                0.58033,                0.44925,                0.88011,                0.99903,                0.93293,                0.93928,                0.79355,                 0.9003,                0.83537,                0.81199,                0.31242,                0.67447,                 3.2132,                0.60752,                0.43091,                0.83601,              0.0017888,              0.0017888,              0.0017888
                     35,                0.70853,                 3.1774,                0.57228,                 0.4531,                0.89625,                0.99905,                0.92683,                0.93546,                0.79069,                0.80503,                 0.7439,                 0.6473,                0.26894,                0.66491,                 3.3513,                0.60952,                0.52978,                0.83504,              0.0017822,              0.0017822,              0.0017822
                     36,                0.72021,                 3.3038,                0.58137,                0.45469,                 0.8707,                0.58002,                0.66463,                0.69572,                0.51785,                0.59432,                0.43773,                0.49244,                0.16398,                  1.068,                 4.8232,                0.60082,                 1.2236,                  1.011,              0.0017756,              0.0017756,              0.0017756
                     37,                0.68623,                 3.2499,                 0.5748,                0.45444,                0.87643,                0.99866,                0.92073,                0.93433,                0.77379,                0.86576,                0.78651,                0.75895,                0.32075,                0.69476,                 3.1878,                0.59045,                0.49371,                 0.8485,               0.001769,               0.001769,               0.001769
                     38,                0.69377,                 3.1841,                0.56949,                0.44759,                0.88041,                      1,                0.92595,                0.92959,                0.76433,                0.87298,                0.80488,                0.74936,                0.28905,                0.75194,                 3.0114,                0.58845,                0.76204,                0.85029,              0.0017624,              0.0017624,              0.0017624
                     39,                0.70675,                 3.3321,                0.56444,                0.44817,                0.87581,                0.99341,                0.91935,                  0.936,                0.77028,                0.87484,                0.80978,                0.76678,                 0.2708,                0.71554,                 3.2221,                0.58973,                0.47374,                 0.8481,              0.0017558,              0.0017558,              0.0017558
                     40,                0.68379,                 3.1696,                0.56862,                0.43972,                0.87442,                0.99393,                0.92073,                0.92643,                0.77756,                0.79319,                0.73171,                0.65361,                0.23445,                0.67615,                 3.1566,                0.59757,                0.44018,                 0.8453,              0.0017492,              0.0017492,              0.0017492
                     41,                 0.7067,                 3.2427,                0.56656,                0.45487,                0.88334,                0.99259,                0.92683,                0.92502,                0.77538,                0.88809,                0.82927,                0.77806,                0.30972,                0.67857,                 2.9434,                0.59683,                0.43956,                0.83962,              0.0017426,              0.0017426,              0.0017426
                     42,                0.68498,                 3.3203,                0.57592,                0.43623,                0.87538,                0.97348,                0.89521,                0.93321,                 0.7494,                0.83605,                0.74625,                0.73391,                 0.2688,                0.81695,                 3.3571,                0.58558,                0.55419,                0.86831,               0.001736,               0.001736,               0.001736
